Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Mauritius,MUS,High-technology exports (current US$),TX.VAL.TECH.CD,10637134,6397088,354999,1289226,1053133,28412077,31292625,24299494,20091030,2679317,16986363,6408555
Mexico,MEX,High-technology exports (current US$),TX.VAL.TECH.CD,57555129440,58518033081,61566553721,60222704580,62489596572,69637771602,74827258646,75166404372,71010208559,74981570074,91195069526,81456744669
"Micronesia, Fed. Sts.",FSM,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Moldova,MDA,High-technology exports (current US$),TX.VAL.TECH.CD,26511802,16758559,26537316,20726514,15491763,30060831,18848598,24947389,18904904,21773455,22595261,28885013
Monaco,MCO,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,High-technology exports (current US$),TX.VAL.TECH.CD,..,22669722,33796542,3152908,35523918,3779196,6763247,39589731,3052935,25335204,51137809,..
Montenegro,MNE,High-technology exports (current US$),TX.VAL.TECH.CD,9889196,6909504,11118362,11848593,5165280,5133170,4246457,9697705,9960411,13067233,14413066,15199424
Morocco,MAR,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,564402063,602597980,691266526,836699067,1017946687,850002482,1132107354,1392530221,1723700823
Mozambique,MOZ,High-technology exports (current US$),TX.VAL.TECH.CD,104748498,82425059,44098229,31400311,12215239,32332952,27233066,4329718,2250366,8017648,18227789,16632000
Myanmar,MMR,High-technology exports (current US$),TX.VAL.TECH.CD,15467021,6071366,15846765,9486539,252834722,285995158,325332206,219420966,225716430,305581286,200938589,190414450
Namibia,NAM,High-technology exports (current US$),TX.VAL.TECH.CD,108461161,72391902,114166739,6257803,24272101,2162374,2888325,169247,181587,639994,764250,845964
Nauru,NRU,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Nepal,NPL,High-technology exports (current US$),TX.VAL.TECH.CD,816353,1912532,4401482,2850013,4241552,5993524,3263597,5285142,9513473,6433383,3815787,..
Netherlands,NLD,High-technology exports (current US$),TX.VAL.TECH.CD,81513741828,80936819220,84488370148,69778885270,71059988656,77793879014,85620091095,87057975323,87232912188,101413257497,98441621634,110952318467
New Caledonia,NCL,High-technology exports (current US$),TX.VAL.TECH.CD,85540786,99288066,137707109,38232165,..,..,..,..,..,..,..,..
New Zealand,NZL,High-technology exports (current US$),TX.VAL.TECH.CD,762196446,775321384,699116173,657060269,640136073,564057385,605401280,572755338,589049116,673724583,826243764,823527942
Nicaragua,NIC,High-technology exports (current US$),TX.VAL.TECH.CD,4344649,7424951,9951105,11891363,17029801,12612402,14953054,24126467,9890059,30355921,37239155,22949838
Niger,NER,High-technology exports (current US$),TX.VAL.TECH.CD,4737341,53489209,72921911,11881005,4109929,17744305,5845178,1838136,8771623,12797212,5924134,2603432
Nigeria,NGA,High-technology exports (current US$),TX.VAL.TECH.CD,77755370,91782074,140225736,495095302,7388348,18315636,41645089,85424677,190326678,195947207,76668152,65160240
North Macedonia,MKD,High-technology exports (current US$),TX.VAL.TECH.CD,117340027,122676418,130746178,125087129,113781430,186205169,234169973,252769719,232386915,276603713,288192179,387658985
Northern Mariana Islands,MNP,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,..,..,..,..,..,..,..,..,..,..
Norway,NOR,High-technology exports (current US$),TX.VAL.TECH.CD,5157077194,5372322266,5698284176,5035663952,4312063971,4265636721,4318612767,4610745766,4069222591,4733483567,5351662717,5957981536
Oman,OMN,High-technology exports (current US$),TX.VAL.TECH.CD,167104199,159946801,230872195,138986749,50129889,48362452,73302556,77192098,589224440,662031837,784366169,441801906
Pakistan,PAK,High-technology exports (current US$),TX.VAL.TECH.CD,316859945,354220539,264492176,266537589,311291838,360255508,374563536,396194498,309393322,318590723,329716126,384348995
Palau,PLW,High-technology exports (current US$),TX.VAL.TECH.CD,..,..,1144672,2231245,3509603,1277066,401590,..,..,..,..,..
Panama,PAN,High-technology exports (current US$),TX.VAL.TECH.CD,464508,50963,231391,457,822563,182494,88765,255848,694221,333800,333696,1339544
Papua New Guinea,PNG,High-technology exports (current US$),TX.VAL.TECH.CD,15613328,..,..,..,..,..,..,46982983,61780229,86295937,..,..
Paraguay,PRY,High-technology exports (current US$),TX.VAL.TECH.CD,56616781,66156748,62065735,50417840,60873341,62253533,102336649,76176090,54397925,103189077,179235119,162697885
