Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Italy,ITA,Scientific and technical journal articles,IP.JRN.ARTC.SC,64130.5,67380.42,69089.63,70947.03,70793.77,72117.06,73693.73,78131.55,86301.61,92877.32,90585.64,..
Jamaica,JAM,Scientific and technical journal articles,IP.JRN.ARTC.SC,206.96,201.42,208.67,155.26,162.19,168.53,197.8,152.88,172.21,212.21,168.07,..
Japan,JPN,Scientific and technical journal articles,IP.JRN.ARTC.SC,109040.04,108551.11,105286.6,102018.5,102449.32,102425.45,103957.43,104005.62,102788.11,109074.89,103722.96,..
Jordan,JOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1380.32,1403.65,1368.51,1421.99,1672.05,1994.89,2472.02,3009.79,3373.47,4068.98,5249.35,..
Kazakhstan,KAZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,447.55,621.51,906.72,1110.37,1470.61,1690.02,1973.65,2413.12,2907,3294.93,3550.75,..
Kenya,KEN,Scientific and technical journal articles,IP.JRN.ARTC.SC,791.58,853.74,935.73,1001.89,1100.23,1191.38,1334.77,1463.07,1786.27,1976.72,2007.14,..
Kiribati,KIR,Scientific and technical journal articles,IP.JRN.ARTC.SC,1,1.05,1.94,1.48,2.17,2.54,0.62,3.97,3.71,2.36,2.03,..
"Korea, Dem. People's Rep.",PRK,Scientific and technical journal articles,IP.JRN.ARTC.SC,17.88,9.11,16.73,39.01,42.06,56.6,89.9,144.61,177.26,245.09,263.49,..
"Korea, Rep.",KOR,Scientific and technical journal articles,IP.JRN.ARTC.SC,56100.89,57320.12,60152.58,62722.77,62915.13,64096.89,66892.64,70701.85,73255.78,77566.47,76935.71,..
Kosovo,XKX,Scientific and technical journal articles,IP.JRN.ARTC.SC,112.95,121.59,115.81,131.94,180.01,218.35,257.91,272.56,267.8,306.41,428.36,..
Kuwait,KWT,Scientific and technical journal articles,IP.JRN.ARTC.SC,823.4,871.03,784.11,864.37,816.43,850.76,1001.08,1162.19,1134.46,1255.18,1334.56,..
Kyrgyz Republic,KGZ,Scientific and technical journal articles,IP.JRN.ARTC.SC,51.95,56.04,50.81,48.24,106.29,115.48,135.02,186.15,209.59,252.43,236.83,..
Lao PDR,LAO,Scientific and technical journal articles,IP.JRN.ARTC.SC,62.81,72.11,56.61,70.96,89,78.82,89.81,94.68,90.23,87.11,83.93,..
Latvia,LVA,Scientific and technical journal articles,IP.JRN.ARTC.SC,1147.24,1192.04,1163.27,1398.7,1347.95,1557.08,1448.69,1603.35,1549.52,1903.51,1690.44,..
Lebanon,LBN,Scientific and technical journal articles,IP.JRN.ARTC.SC,1023.86,1099.86,1219.11,1301.39,1472.02,1561.41,1907.25,2096.33,2236.68,2207.34,2091.17,..
Lesotho,LSO,Scientific and technical journal articles,IP.JRN.ARTC.SC,21.26,15.19,11.63,16.51,21.59,24.87,21.11,37.74,34.31,43.94,47.96,..
Liberia,LBR,Scientific and technical journal articles,IP.JRN.ARTC.SC,7.47,3.46,9.45,10.71,17.19,21.09,25.33,21.98,10.6,26.16,25.91,..
Libya,LBY,Scientific and technical journal articles,IP.JRN.ARTC.SC,152.3,203.74,194.48,175.79,140.44,162.62,167.84,186.16,245.96,456.28,407.95,..
Liechtenstein,LIE,Scientific and technical journal articles,IP.JRN.ARTC.SC,30.76,31.48,40.29,32.83,45.34,36.1,30.99,31.85,40.39,40.21,40.79,..
Lithuania,LTU,Scientific and technical journal articles,IP.JRN.ARTC.SC,2247.28,2240.39,2444.28,2474.04,2335.81,2400.43,2353.94,2594.62,2888.91,3102.55,3132.62,..
Luxembourg,LUX,Scientific and technical journal articles,IP.JRN.ARTC.SC,593.83,765.94,876.26,816.06,874.4,831.12,911.61,955.34,980.18,1075.91,1170.6,..
"Macao SAR, China",MAC,Scientific and technical journal articles,IP.JRN.ARTC.SC,..,..,..,..,..,..,..,..,..,..,..,..
Madagascar,MDG,Scientific and technical journal articles,IP.JRN.ARTC.SC,94.11,112.7,113.92,106.35,100.7,133.24,124.8,122.45,175.76,174.2,156.66,..
Malawi,MWI,Scientific and technical journal articles,IP.JRN.ARTC.SC,157.59,135.58,171.69,178.8,195.41,234.81,245.97,252.4,291.02,371.88,361.73,..
Malaysia,MYS,Scientific and technical journal articles,IP.JRN.ARTC.SC,14203.57,15008.95,16608.39,18099.96,18747.44,19900.96,19992.49,21651.72,21993.06,26302.68,26506.35,..
